Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Eco,Class_Eco Plus
67,240.0,5,4,3,4,3,4,3,5,5,5,5,2,5,5,100,44.0,1,False,False,False,True,False
51,4294.5,1,1,3,1,5,4,5,4,4,4,4,3,4,5,50,0.0,1,False,False,False,False,False
35,288.0,2,0,2,4,2,2,2,2,4,1,3,2,2,2,50,0.0,0,True,True,False,True,False
59,5065.5,0,0,0,2,3,4,4,1,1,1,1,3,1,4,50,6.0,1,True,False,False,False,False
64,1773.0,2,3,4,3,4,1,2,2,2,2,2,4,2,4,50,20.0,1,False,False,False,True,False
31,466.5,3,3,3,3,5,5,3,5,4,3,1,1,2,5,50,0.0,1,True,False,False,True,False
92,5980.5,5,5,5,5,3,5,5,5,5,5,5,4,5,3,50,0.0,1,False,False,False,False,False
58,3834.0,2,2,2,2,4,4,5,4,4,4,4,5,4,3,127,65.0,1,False,False,False,False,False
62,834.0,5,2,2,2,5,5,5,5,2,2,5,3,3,5,51,0.0,1,True,False,False,True,False
61,2616.0,2,2,2,2,3,4,4,4,4,4,4,5,4,4,78,14.0,1,False,False,False,False,False
62,1852.5,4,1,1,1,5,1,5,3,3,4,3,1,3,4,79,19.0,1,False,False,False,True,False
48,487.5,2,5,5,5,1,3,4,2,2,2,2,3,2,4,68,7.0,0,False,False,False,False,False
61,1513.5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,50,0.0,1,False,False,False,False,False
75,676.5,1,1,4,1,5,5,4,5,5,5,5,3,5,5,167,113.0,1,False,False,False,False,False
67,1387.5,2,2,2,2,5,5,4,4,4,4,4,3,4,5,60,0.0,1,False,False,False,False,False
65,124.5,3,4,0,3,2,0,2,2,4,2,4,4,5,2,55,2.0,0,True,False,True,True,False
46,1092.0,2,5,5,5,2,2,2,2,4,3,3,4,3,2,52,0.0,0,False,False,False,True,False
67,1612.5,5,4,5,3,4,5,4,4,3,5,5,4,5,4,50,0.0,1,True,False,True,False,True
